602.8 354.9 236.9 46.18 500
603.6 340.5 213.5 25.47 500
607.2 366.3 239.4 29.39 500
618.5 350.7 232.5 24.07 500
552.4 342.7 223.1 22.39 500
603 355 237 46 500
554 346 224 31 500
604 340 213 25 500
607 366 239 29 500
619 351 233 24 500
631 350 227 25 500
552 343 223 22 500
570 324 227 24 500
615 341 223 25 500
627 351 237 25 500
621 338 235 28 500
599 339 228 27 500
610 327 214 29 500
605.1219 38.56197 234.6466 335.5864 500
598.4872 38.74374 237.4313 320.0302 500
609.497 38.15869 243.2813 340.1478 500
594.2347 40.24895 242.5683 329.1316 500
590.4351 39.74343 242.3549 320.8152 500
642.2066 39.07886 240.8335 364.2538 500
586.5129 39.16406 243.9325 323.4724 500
628.5163 37.88605 238.6552 344.2742 500
587.7439 37.47708 241.6981 337.6443 500
632.4332 39.03342 239.9408 356.5314 500
610.8772 39.42535 241.0468 351.7791 500
635.3268 40.12967 232.8893 360.5358 500
612.364 34.75065 237.9309 351.3442 500
615.8013 39.59007 235.6628 330.2879 500
600.0912 35.9889 239.3513 342.8899 500
612.5505 40.91352 239.5085 343.7332 500
623.1606 39.54462 240.8559 352.9513 500
622.4305 38.59037 250.5012 342.9111 500
597.9277 38.43133 237.74 341.129 500
637.2932 39.5219 236.707 354.9402 500
