207.9 7.9 6.2 500
206.0 2.0 3.9 500
193.0 4.0 6.4 500
206.0 4.5 4.2 500
210.4 6.0 5.9 500
208 8 6 500
206 2 4 500
193 4 6 500
199 6 4 500
193 4 6 500
206 5 4 500
210 3 4 500
210 6 6 500
204 6 7 500
176 4 5 500
196 5 7 500
208 4 4 500
211 4 7 500
184.9605 14.61512 16.9362 500
207.279 15.61886 16.08533 500
203.0895 15.39581 16.47531 500
210.7777 15.39074 16.59686 500
194.504 15.05109 16.3335 500
197.6397 15.54282 16.00937 500
200.8058 15.50733 16.80452 500
202.1115 15.10685 16.79945 500
217.13 15.56816 16.54115 500
203.392 15.18796 16.5209 500
223.1394 15.11699 16.47025 500
203.3063 15.16261 17.84783 500
213.7875 15.98386 16.70322 500
206.4219 15.25893 17.49331 500
206.2707 15.58844 16.66777 500
220.664 15.3806 17.18436 500
212.3557 15.29442 17.14891 500
211.0197 14.83817 17.52876 500
